pos_name,salary_low_bound,salary_high_bound,salary_fee_months,main_tech,pos_keyword,pos_domain,city,location,degree,exp,person_in_charge,charge_pos,pos_responsibility,pos_requirement,pos_detail,enterprise,enterprise_scale,create_time
高级java开发工程师,20.0,40.0,14,"Java开发,人工智能领域","Java开发,人工智能领域",,北京,,统招本科,5-10年,吕女士,招聘专员,,,,声智科技,B轮,2022-06-11 22:20:38
java工程师,15.0,28.0,16,"模块开发,后端开发,系统开发,框架开发,框架设计,MySQL,Oracle,消息队列","模块开发,后端开发,系统开发,框架开发,框架设计,MySQL,Oracle,消息队列",,深圳,,本科,3-5年,张女士,人事专员（招聘）,,,,开泰科技,100-499人,2022-06-11 22:20:38
量化开发经理,0.0,0.0,0,"架构开发,架构设计","架构开发,架构设计",,上海,浦东新区,统招本科,1-3年,梁先生,人力资源总监,,,,朗姿韩亚资管,50-99人,2022-06-11 22:20:38
java后端开发,15.0,25.0,14,"MongoDB,Redis,MySQL,Java,后端开发,Spring Boot","MongoDB,Redis,MySQL,Java,后端开发,Spring Boot",,深圳,光明区,本科,1-3年,李先生,,,,,欣旺达电动汽车电池有限公司,融资未公开,2022-06-11 22:20:38
Java软件工程师,15.0,30.0,15,Java,Java,,西安,高新区,统招本科,经验不限,王先生,,,,,兴业数金,500-999人,2022-06-11 22:20:38
高级java开发工程师,25.0,40.0,14,"SpringCloud,模块开发,功能开发,需求分析,Mybatis,SpringBoot,Spring Boot,系统开发,SpringMVC,消息队列","SpringCloud,模块开发,功能开发,需求分析,Mybatis,SpringBoot,Spring Boot,系统开发,SpringMVC,消息队列",,北京,丰台区,统招本科,5-10年,李先生,HRBP,,,,天津长城共享汽车服务有限公司,100-499人,2022-06-11 22:20:38
java开发工程师-中级,15.0,25.0,13,"框架开发,框架设计,后端开发,Spring,SpringBoot,Spring Boot,Mybatis","框架开发,框架设计,后端开发,Spring,SpringBoot,Spring Boot,Mybatis",,深圳,南山区,本科,1-3年,刘女士,人力资源经理,,,,杰成合力,融资未公开,2022-06-11 22:20:38
JAVA开发架构师,25.0,35.0,15,"架构设计,大数据领域,JVM,框架设计,框架开发,技术支持,消息队列,Java","架构设计,大数据领域,JVM,框架设计,框架开发,技术支持,消息队列,Java",,北京,海淀区,统招本科,5-10年,张女士,,,,,云南白药集团股份有限公司,沪深A股上市,2022-06-11 22:20:38
Java资深工程师,15.0,25.0,15,"系统开发,模块开发,框架开发,框架设计,SpringMVC,IT/信息化领域,SQL,Unix,Linux,GIT","系统开发,模块开发,框架开发,框架设计,SpringMVC,IT/信息化领域,SQL,Unix,Linux,GIT",,深圳,南山区,统招本科,3-5年,邹女士,HRBP Leader,,,,360,其他,2022-06-11 22:20:38
java后端开发,8.0,15.0,12,"大数据领域,SpringBoot,Spring Boot,SpringCloud,Spring,框架开发,框架设计,需求分析,Web开发,时序数据库","大数据领域,SpringBoot,Spring Boot,SpringCloud,Spring,框架开发,框架设计,需求分析,Web开发,时序数据库",,杭州,西湖区,本科,1-3年,肖女士,人力主管,,,,京仪北方,50-99人,2022-06-11 22:20:38
