pos_name,salary_low_bound,salary_high_bound,salary_fee_months,main_tech,pos_keyword,pos_domain,city,location,degree,exp,person_in_charge,charge_pos,pos_responsibility,pos_requirement,pos_detail,enterprise,enterprise_scale,create_time
Java开发工程师,13.0,17.0,12,,,,北京,,统招本科,3-5年,HR,,,,,狮桥集团,5000-10000人,2022-06-11 23:33:14,https://www.liepin.com/job/1922970075.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=24&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=24
JAVA开发工程师,20.0,40.0,14,,,,北京,,统招本科,1-3年,罗先生,猎头顾问,,,,互联网知名企业,已上市,2022-06-11 23:33:14,https://www.liepin.com/a/37705029.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=25&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=25
JAVA开发工程师,20.0,40.0,14,,,,北京,,统招本科,1-3年,罗先生,猎头顾问,,,,互联网知名企业,已上市,2022-06-11 23:33:14,https://www.liepin.com/a/37705027.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=26&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=26
后端java开发工程师,15.0,30.0,13,"35岁以内,广告行业 广告投放工具/系统,2B、电商、互联网经验","35岁以内,广告行业 广告投放工具/系统,2B、电商、互联网经验",,广州,天河区,本科及以上,5-10年,张先生,猎头顾问,,,,某知名头部互联网集团公司,已上市,2022-06-11 23:33:14,https://www.liepin.com/a/37704471.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=27&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=27
java开发经理,30.0,50.0,14,,,,深圳,福田区,统招本科,5-10年,陆先生,猎头顾问,,,,某深圳知名公司,融资未公开,2022-06-11 23:33:14,https://www.liepin.com/a/37703665.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=28&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=28
Java研发工程师,30.0,40.0,14,java架构,java架构,,北京,朝阳区,本科及以上,3-5年,陆先生,猎头顾问,,,,某北京知名公司,D轮及以上,2022-06-11 23:33:14,https://www.liepin.com/a/37703595.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=29&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=29
高级java工程师,20.0,30.0,16,java,java,,深圳,南山区,统招本科,5-10年,陆先生,猎头顾问,,,,某知名公司,融资未公开,2022-06-11 23:33:14,https://www.liepin.com/a/37703537.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=30&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=30
java开发工程师,40.0,60.0,12,"Java,Python,HTML,Vue,Spring Boot,Spring Cloud,Oracle,Redis","Java,Python,HTML,Vue,Spring Boot,Spring Cloud,Oracle,Redis",,上海,,学历不限,1-3年,张女士,猎头顾问,,,,某基金证券公司,A轮,2022-06-11 23:33:14,https://www.liepin.com/a/36843149.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=31&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=31
资深Java研发（对标P6~P7）,25.0,55.0,16,"SpringCloud,SpringMVC,Java,Spring,SpringBoot,后端开发,Javascript,MySQL,互联网","SpringCloud,SpringMVC,Java,Spring,SpringBoot,后端开发,Javascript,MySQL,互联网",,杭州,滨江区,统招本科,经验不限,施先生,猎头顾问,,,,Michael Page,5000-10000人,2022-06-11 23:33:14,https://www.liepin.com/job/1950053043.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=32&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=32
应用软件开发工程师（JAVA）,17.0,40.0,12,"Spring,IOT平台开发,linux基本操作,K8S","Spring,IOT平台开发,linux基本操作,K8S",,南京,建邺区,统招本科,3-5年,彭彩兰,人力资源专员/助理,,,,烽火通信,已上市,2022-06-11 23:33:14,https://www.liepin.com/job/1948224305.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=33&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=33
Java后端开发工程师（双休、五险一金）,8.0,12.0,12,"SpringBoot,SpringCloud,SQL,MySQL,Java","SpringBoot,SpringCloud,SQL,MySQL,Java",,上海,徐汇区,本科,1-3年,汪女士,行政经理,,,,天瑞集团,10000人以上,2022-06-11 23:33:14,https://www.liepin.com/job/1948344717.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=34&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=34
中级java 南航超轻松,11.0,14.0,12,"SpringMVC,SpringBoot,FastDFS,Dubbo,SpringCloud,jQuery,全栈开发,Java,Spring Boot,Spring Cloud","SpringMVC,SpringBoot,FastDFS,Dubbo,SpringCloud,jQuery,全栈开发,Java,Spring Boot,Spring Cloud",,广州,白云区,大专,3-5年,陈先生,HR,,,,佰钧成技术,融资未公开,2022-06-11 23:33:14,https://www.liepin.com/job/1949789969.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=35&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=35
java工程师,13.0,25.0,12,"JVM,框架开发,框架设计,Hive,Spark,Redis,Elasticsearch,RabbitMQ,消息队列,Kafka","JVM,框架开发,框架设计,Hive,Spark,Redis,Elasticsearch,RabbitMQ,消息队列,Kafka",,杭州,萧山区,大专,1-3年,何先生,hr,,,,长春市兆年科技有限公司,50-99人,2022-06-11 23:33:14,https://www.liepin.com/job/1950109507.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=36&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=36
初级Java开发工程师,8.0,12.0,13,"模块开发,框架开发,框架设计,MySQL,SQL,MariaDB,分布式数据库,Maven","模块开发,框架开发,框架设计,MySQL,SQL,MariaDB,分布式数据库,Maven",,广州,海珠区,本科,经验不限,郑先生,,,,,广州大白互联网科技有限公司,50-99人,2022-06-11 23:33:14,https://www.liepin.com/job/1931882109.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=37&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=37
Java开发工程师,15.0,26.0,12,java,java,,北京,海淀区,统招本科,1-3年,谢先生,HR,,,,点聚,融资未公开,2022-06-11 23:33:14,https://www.liepin.com/job/1944022655.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=38&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=38
java工程师,20.0,50.0,12,"Java,Mybatis,SpringCloud,架构设计","Java,Mybatis,SpringCloud,架构设计",,深圳,南山区,本科,5-10年,刘先生,行政人事主管,,,,浙江吉利控股集团,10000人以上,2022-06-11 23:33:14,https://www.liepin.com/job/1949935969.shtml?d_sfrom=search_prime&d_ckId=363339f12b7b00b8c065d31be6f6c900&d_curPage=5&d_pageSize=40&d_headId=363339f12b7b00b8c065d31be6f6c900&d_posi=39&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=5&pageSize=40&index=39
java开发工程师,12.0,15.0,12,"java,数据库,jquery,html,ajax","java,数据库,jquery,html,ajax",,北京,朝阳区,统招本科,1-3年,韩女士,人事行政,,,,中物物流,100-499人,2022-06-11 23:33:23,https://www.liepin.com/job/1934357701.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=0&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=0
Java高级开发工程师,15.0,30.0,14,"Spring,框架设计,框架开发,Mybatis,需求分析,SpringMVC,Java,R语言","Spring,框架设计,框架开发,Mybatis,需求分析,SpringMVC,Java,R语言",,杭州,滨江区,统招本科,3-5年,姚先生,,,,,联通(浙江)产业互联网有限公司,融资未公开,2022-06-11 23:33:23,https://www.liepin.com/job/1945543747.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=1&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=1
Java后端主管,20.0,40.0,14,"架构设计,后端开发,JVM,模块开发,框架开发,框架设计,技术支持,搜索引擎","架构设计,后端开发,JVM,模块开发,框架开发,框架设计,技术支持,搜索引擎",,深圳,南山区,统招本科,5-10年,云女士,招聘专员,,,,深圳存真求实科技有限公司,A轮,2022-06-11 23:33:23,https://www.liepin.com/job/1949092797.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=2&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=2
java研发团队负责人,50.0,75.0,20,"架构设计,工业互联网,jQuery,Javascript,CSS,HTML,SQL","架构设计,工业互联网,jQuery,Javascript,CSS,HTML,SQL",,北京,,统招本科,10年以上,陈女士,猎头顾问,,,,某大型基金证券公司,已上市,2022-06-11 23:33:23,https://www.liepin.com/a/35021323.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=3&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=3
java高级研发工程师,20.0,40.0,12,"Spring,Java,关系型数据库,金融领域","Spring,Java,关系型数据库,金融领域",,南京,,硕士,3-5年,俞先生,软件研发,,,,华泰证券,已上市,2022-06-11 23:33:23,https://www.liepin.com/job/1949967079.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=4&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=4
Java开发工程师(J12518),8.0,10.0,12,"Vue,Vue.js,框架设计,框架开发,消息队列,非关系型数据库,SVN,GIT","Vue,Vue.js,框架设计,框架开发,消息队列,非关系型数据库,SVN,GIT",,武汉,洪山区,本科,1-3年,梁先生,,,,,长江存储科技有限责任公司,1000-2000人,2022-06-11 23:33:23,https://www.liepin.com/job/1948804653.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=5&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=5
Java高级开发工程师,18.0,35.0,15,"架构设计,框架开发,框架设计,网络开发,Redis,MongoDB","架构设计,框架开发,框架设计,网络开发,Redis,MongoDB",,南京,雨花台区,本科,5-10年,杨先生,资深招聘经理,,,,众能联合数字技术有限公司,C轮,2022-06-11 23:33:23,https://www.liepin.com/job/1948691491.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=6&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=6
java开发工程师-C2,25.0,40.0,12,"后端开发,网络开发,JVM,框架开发,框架设计,SQL,Maven,GIT","后端开发,网络开发,JVM,框架开发,框架设计,SQL,Maven,GIT",,深圳,,硕士,经验不限,向女士,1234567890,,,,鹏城实验室,1000-2000人,2022-06-11 23:33:23,https://www.liepin.com/job/1949899687.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=7&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=7
Java高级研发工程师,14.0,28.0,12,"spark,spring,eclipse","spark,spring,eclipse",,北京,海淀区,本科,经验不限,李女士,,,,,中科院空天院,2000-5000人,2022-06-11 23:33:23,https://www.liepin.com/job/1938927877.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=8&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=8
JAVA开发工程师,15.0,30.0,16,,,,北京,海淀区,本科,经验不限,高女士,HRBP,,,,华为,10000人以上,2022-06-11 23:33:23,https://www.liepin.com/job/1949374135.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=9&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=9
高级java工程师,15.0,25.0,14,"架构设计,JUnit,模块开发,架构开发,Java,Maven,GIT,Linux","架构设计,JUnit,模块开发,架构开发,Java,Maven,GIT,Linux",,广州,天河区,统招本科,3-5年,陆女士,HRBP,,,,数说故事,C轮,2022-06-11 23:33:23,https://www.liepin.com/job/1949860845.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=10&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=10
java工程师,13.0,19.0,13,"Spring Boot,Spring,框架开发,Java,MySQL,Kafka,Redis,Oracle,金融领域","Spring Boot,Spring,框架开发,Java,MySQL,Kafka,Redis,Oracle,金融领域",,杭州,滨江区,本科,3-5年,刘女士,招聘主管,,,,北京联龙博通电子商务技术有限公司,已上市,2022-06-11 23:33:23,https://www.liepin.com/job/1949385493.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=11&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=11
java工程师,10.0,12.0,12,"JVM,框架设计,框架开发,SpringCloud,Dubbo,服务器开发,Redis,MySQL,SQL,Oracle","JVM,框架设计,框架开发,SpringCloud,Dubbo,服务器开发,Redis,MySQL,SQL,Oracle",,杭州,西湖区,本科,1-3年,宋女士,,,,,煜象科技,融资未公开,2022-06-11 23:33:23,https://www.liepin.com/job/1949637141.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=12&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=12
高级/资深java开发,40.0,70.0,14,"架构设计,Mybatis,后端开发,Spring","架构设计,Mybatis,后端开发,Spring",,北京,,大专,经验不限,张先生,互联网TeamLeader,,,,天擎丽源,融资未公开,2022-06-11 23:33:23,https://www.liepin.com/job/1946412847.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=13&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=13
高级前端开发工程师（Java script）,25.0,40.0,13,"React,Vue.js,Javascript,Vue,银行领域,金融领域,IT/信息化领域","React,Vue.js,Javascript,Vue,银行领域,金融领域,IT/信息化领域",,深圳,南山区,学历不限,5-10年,李女士,高级招聘专员,,,,亿磐,美股上市,2022-06-11 23:33:23,https://www.liepin.com/job/1949687309.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=14&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=14
java工程师,15.0,20.0,13,"JVM,后端开发","JVM,后端开发",,深圳,南山区,统招本科,3-5年,杨先生,HRBP经理,,,,深圳市科发工贸集团有限公司,1000-2000人,2022-06-11 23:33:23,https://www.liepin.com/job/1949919877.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=15&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=15
JAVA开发工程师(常规项目方向),12.0,24.0,14,"SpringCloud,金蝶,OA系统,用友","SpringCloud,金蝶,OA系统,用友",,广州,,统招本科,3-5年,梁女士,招聘主任,,,,广发银行股份有限公司信用卡中心,10000人以上,2022-06-11 23:33:23,https://www.liepin.com/job/1950013665.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=16&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=16
Java开发工程师,15.0,30.0,12,"spring,java,mysql,数据库,redis,linux,sql,jquery,javascript,css","spring,java,mysql,数据库,redis,linux,sql,jquery,javascript,css",,深圳,南山区,统招本科,经验不限,郑先生,HRBP,,,,深圳TCL工业研究院有限公司,100-499人,2022-06-11 23:33:23,https://www.liepin.com/job/1932939803.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=17&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=17
高级Java开发工程师,18.0,28.0,12,"SpringCloud,SpringBoot,Mybatis,Java,Redis,后端开发,Spring Boot,Spring Cloud,MySQL,医疗领域","SpringCloud,SpringBoot,Mybatis,Java,Redis,后端开发,Spring Boot,Spring Cloud,MySQL,医疗领域",,上海,闵行区,统招本科,3-5年,王女士,人事行政负责人,,,,上海威高普利医疗科技有限公司,,2022-06-11 23:33:23,https://www.liepin.com/job/1948320899.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=18&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=18
java后端工程师,30.0,50.0,14,"JVM,Unix","JVM,Unix",,深圳,宝安区,本科,3-5年,脱女士,猎头,,,,Michael Page,5000-10000人,2022-06-11 23:33:23,https://www.liepin.com/job/1949895045.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=19&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=19
中高级Java开发工程师,8.0,12.0,12,"SpringCloud,需求分析,架构设计,Dubbo,架构开发,模块开发,Mybatis,系统开发,Kafka,Java","SpringCloud,需求分析,架构设计,Dubbo,架构开发,模块开发,Mybatis,系统开发,Kafka,Java",,成都,青羊区,本科,3-5年,唐先生,,,,,南京易联起航信息技术有限公司,500-999人,2022-06-11 23:33:23,https://www.liepin.com/job/1949690125.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=20&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=20
java研发工程师(网络AI中心）,15.0,25.0,12,"spring,java,mysql,mybatis,数据库,hibernate,oracle,linux,sql,hadoop","spring,java,mysql,mybatis,数据库,hibernate,oracle,linux,sql,hadoop",,上海,,统招本科,1-3年,朱女士,,,,,中国联通上海市分公司,2000-5000人,2022-06-11 23:33:23,https://www.liepin.com/job/1937476067.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=21&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=21
java研发工程师,15.0,25.0,12,"框架设计,框架开发,MySQL,Oracle,Java,SQL","框架设计,框架开发,MySQL,Oracle,Java,SQL",,上海,浦东新区,本科,3-5年,刘女士,招聘,,,,大连同方软银科技股份有限公司,新三板上市,2022-06-11 23:33:23,https://www.liepin.com/job/1950150025.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=22&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=22
高薪Java开发工程师（双休20-35K）,20.0,30.0,12,"SpringMVC,SpringBoot,服务器开发,后端开发,MySQL,Redis,IT/信息化领域,人工智能领域,Spring Cloud,Spring MVC","SpringMVC,SpringBoot,服务器开发,后端开发,MySQL,Redis,IT/信息化领域,人工智能领域,Spring Cloud,Spring MVC",,深圳,龙华区,大专,3-5年,刘先生,人事主管,,,,佰钧成技术,融资未公开,2022-06-11 23:33:23,https://www.liepin.com/job/1946908151.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=23&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=23
中级java开发工程师,15.0,25.0,12,"框架设计,框架开发","框架设计,框架开发",,上海,,本科,3-5年,刘女士,招聘经理,,,,赞同科技股份有限公司,2000-5000人,2022-06-11 23:33:23,https://www.liepin.com/job/1945506447.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=24&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=24
·国~企 Java开发工程师,25.0,35.0,12,"Spring,Mybatis,Redis,Tomcat,SQL,Linux","Spring,Mybatis,Redis,Tomcat,SQL,Linux",,上海,浦东新区,本科及以上,3-5年,杨女士,猎头顾问,,,,某上海互联网上市公司,已上市,2022-06-11 23:33:23,https://www.liepin.com/a/37462625.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=25&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=25
Java工程师,15.0,30.0,13,"分布式,java,springcloud","分布式,java,springcloud",,青岛,,统招本科,3-5年,栗女士,,,,,文化中心,10000人以上,2022-06-11 23:33:23,https://www.liepin.com/job/1932315641.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=26&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=26
java开发,8.0,10.0,12,"Java,Web开发,Mybatis,Spring,Spring Boot,Spring MVC,jQuery,MySQL,Javascript,Vue","Java,Web开发,Mybatis,Spring,Spring Boot,Spring MVC,jQuery,MySQL,Javascript,Vue",,武汉,江汉区,学历不限,1-3年,梁女士,经营管理部经理,,,,武汉美华系统集成有限公司,50-99人,2022-06-11 23:33:23,https://www.liepin.com/job/1949582241.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=27&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=27
java开发,15.0,30.0,13,"分布式,java,redis,sql,javascript","分布式,java,redis,sql,javascript",,上海,,本科,3-5年,洪女士,资深招聘,,,,上海迪士尼乐园,10000人以上,2022-06-11 23:33:23,https://www.liepin.com/job/1943025769.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=28&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=28
java开发高级工程师（微服务方向）,10.0,16.0,14,"spring,java,mybatis,redis,jenkins,springcloud","spring,java,mybatis,redis,jenkins,springcloud",,苏州,昆山,本科,3-5年,高女士,HRBP主管,,,,维信诺科技股份有限公司,沪深A股上市,2022-06-11 23:33:23,https://www.liepin.com/job/1939081411.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=29&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=29
java高级工程师,15.0,25.0,12,"SpringCloud,SpringBoot","SpringCloud,SpringBoot",,深圳,南山区,大专,3-5年,汤女士,人事经理,,,,协卓软件,融资未公开,2022-06-11 23:33:23,https://www.liepin.com/job/1948827109.shtml?d_sfrom=search_prime&d_ckId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_curPage=6&d_pageSize=40&d_headId=1ee16f3bdf94a8b21fcbce515ba2cabd&d_posi=30&skId=null&fkId=null&ckId=null&sfrom=search_job_pc&curPage=6&pageSize=40&index=30
