job_title,job_dq,job_tag,job_salary,job_labels,company,company_field,company_size,hr,hr_pos
java全栈开发工程师,广州-番禺区,,12-15k·13薪,"3-5年,本科,Java,SpringMVC,Web开发,Hibernate,Bootstrap,全栈开发,Javascript,CSS,MySQL,IT/信息化领域",晶新软件,计算机软件,融资未公开,潘先生,技术/研发经理
java中级开发工程师（西安）,西安-高新区,,10-15k·13薪,"3-5年,本科,模块开发,框架开发,框架设计,Scala,脚本语言,J2EE,LabVIEW,MySQL,Golang,Oracle",广州金越软件技术有限公司,计算机软件,融资未公开,林女士,人事
JAVA开发工程师,广州-番禺区,,7-14k·14薪,"1-3年,本科,jQuery,D语言,SQL",广州鹏辉能源科技股份有限公司,新能源,已上市,丁先生,招聘主管
Java架构师,深圳-宝安区,,25-35k·14薪,"5-10年,统招本科,架构设计,Spring Cloud,系统设计,JVM,Spring,Java",深圳市富兰瓦时技术有限公司,新能源,100-499人,高女士,人事
计费系统工程师(Java方向）,深圳-龙岗区,,10-20k,"3-5年,本科,Mybatis,架构设计,框架开发,框架设计,Java",思达仪表,电子/芯片/半导体,500-999人,郑女士,
Java高级开发工程师,上海,,面议,"5-10年,本科,后端开发,全栈开发,前端开发,架构设计,人工智能领域,MySQL,Oracle",复地,房地产/建筑,2000-5000人,谢先生,高级招聘经理
后端java开发工程师,沈阳-浑南区,,10-15k,"3-5年,大专,Mybatis,Spring,SpringMVC,SpringCloud,SpringBoot,Spring Boot,框架开发,框架设计,通信领域,架构设计",海润股份,检测/认证,其他,张先生,
后端java开发工程师,天津-滨海新区,,12-15k,"5-10年,大专,SpringCloud,SpringBoot,模块开发,移动开发,需求分析,Javascript,IT/信息化领域",海润股份,检测/认证,其他,张先生,
java程序员,武汉-武昌区,,7-10k·16薪,"1-3年,大专,功能开发,Java,后端开发,系统开发,商业信息化",武汉中商集团有限公司,融资未公开,5000-10000人,李女士,招聘专员
java工程师,上海-静安区,,15-20k,"经验不限,统招本科,Web开发,Spring,Struts,商业信息化,Hibernate,VR开发,框架开发,框架设计,架构设计,R语言",上海颖派汽车科技有限公司,汽车/摩托车,1-49人,吴先生,
高级java开发工程师,深圳-南山区,,25-30k,"5-10年,大专,模块开发,功能开发,架构设计,RocketMQ,Mybatis,Spring,SpringBoot,Spring Boot,系统开发,网络开发",东博科技,互联网/电商,天使轮,黄女士,HR
java工程师（高级）,厦门-集美区,,10-20k·13薪,"5-10年,本科,VR开发,模块开发,Hibernate,IT/信息化领域,SpringMVC,架构设计,框架开发,框架设计,R语言,XML",蓝凌软件,计算机软件,2000-5000人,肖女士,HRBP
java开发/运维开发/中间件开发-DevOps,重庆-南岸区,,12-25k,"3-5年,大专,Java,Elasticsearch,Linux,后端开发,UUC,DevOps,SpringBoot,ELK",深圳千域时代科技有限公司,互联网/电商,50-99人,李女士,招聘经理
Java开发工程师(武汉),武汉-汉阳区,,15-25k,"3-5年,大专,架构设计,RocketMQ,架构开发,VR开发,RabbitMQ,分布式数据库,R语言,UML",珠海派诺科技股份有限公司,能源/水利,已上市,涂女士,hr
java高级工程师,长沙-岳麓区,,16-24k·13薪,"10年以上,统招本科,架构设计,人工智能领域,通信领域,Spring Cloud,系统开发,全栈开发,移动开发,音视频开发",湖南智领通信科技有限公司,通信业,融资未公开,陈女士,人事
Java工程师,深圳-福田区,,8-15k,"3-5年,本科,架构设计,JVM,功能开发,模块开发,框架开发,框架设计,消息队列,Oracle,MySQL",深圳市世鹏资产评估房地产土地估价顾问有限公司,房地产服务,100-499人,刘先生,人力执行总监
JAVA开发工程师(中高级),珠海,,15-25k,"3-5年,大专,架构设计,RocketMQ,VR开发,架构开发,RabbitMQ,分布式数据库,UML,R语言",珠海派诺科技股份有限公司,能源/水利,已上市,涂女士,hr
java开发,成都-高新区,,15-20k,"3-5年,统招本科,模块开发,框架开发,框架设计,架构设计,Redis,MySQL,PostgreSQL,MongoDB",北京瑞友科技股份有限公司,计算机软件,其他,李女士,招聘
java开发,上海-闵行区,,20-40k·14薪,"1-3年,本科,模块开发,Oracle,MySQL",江西小马机器人有限公司,批发零售,A轮,欧女士,人事主管
java工程师,深圳,,10-15k·14薪,"1-3年,大专,需求分析,MySQL,Java,全栈开发,前端开发,后端开发",佳思德科技(深圳)有限公司,仪器仪表,100-499人,肖先生,HR
JAVA开发工程师（BOM领域）,广州-花都区,,12-20k,"3-5年,本科,模块开发,SpringMVC,功能开发,需求分析,SQL,J2SE,关系型数据库",联友科技,计算机软件,1000-2000人,王女士,人才运营科科长
JAVA技术经理,武汉-武昌区,,15-20k,"5-10年,统招本科,架构设计,架构开发,J2EE,SQL",奥哲网络,互联网/电商,C轮,黄先生,高级招聘
Java开发工程师(J10452),上海-闵行区,,15-25k,"3-5年,本科,Java",上海凯士比泵有限公司,机械/机电/重工,500-999人,徐女士,高级招聘专员
